rank,recipe_id,title,suspicion_reasons,suggested_decision,is_new_r401_r610,blocker_or_warning
85,r432_salat_s_pomidorami_krasnoe_more,Салат с помидорами «Красное море»,"truncation/fragment/weak finish: 1; e.g. Заправьте греческим йогуртом, посолите, поперчите и перемешайте; missing approximate/user-friendly measure: 1; e.g. сыр гауда (натереть) — 35 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
86,r500_pasta_boloneze,Паста болоньезе,truncation/fragment/weak finish: 1; e.g. Отварите пасту и смешайте ее с соусом болоньезе; missing approximate/user-friendly measure: 1; e.g. цельнозерновая паста — 100 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
87,r526_pasta_s_tuntsom_i_tomatami,Паста с тунцом и томатами,"truncation/fragment/weak finish: 1; e.g. Смешайте с пастой, добавьте перец и зелень; missing approximate/user-friendly measure: 1; e.g. паста — 100 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
88,r562_rizotto_s_tykvoy_i_tverdym_syrom,Ризотто с тыквой и твердым сыром,truncation/fragment/weak finish: 1; e.g. Добавьте твердый сыр; missing approximate/user-friendly measure: 1; e.g. твердый сыр — 40 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
89,r569_pasta_s_tuntsom_olivkami_i_marinovannym_ogurtsom,"Паста с тунцом, оливками и маринованным огурцом",truncation/fragment/weak finish: 1; e.g. Смешайте с пастой и зеленью; missing approximate/user-friendly measure: 1; e.g. паста — 65 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
90,r586_sendvich_s_arahisovoy_pastoy_i_bananom,Сэндвич с арахисовой пастой и бананом,truncation/fragment/weak finish: 1; e.g. Накройте вторым ломтиком и слегка прижмите; missing approximate/user-friendly measure: 1; e.g. арахисовая паста — 50 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
91,r599_lavash_s_syrom_i_pomidorom,Лаваш с сыром и помидором,truncation/fragment/weak finish: 1; e.g. Прогрейте на сухой сковороде на среднем огне 2-3 минуты до хрустящей корочки и расплавления сыра; missing approximate/user-friendly measure: 1; e.g. сыр гауда — 50 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
92,r603_tortilya_s_fasolyu_i_syrom,Тортилья с фасолью и сыром,truncation/fragment/weak finish: 1; e.g. Прогрейте на среднем огне 2-3 минуты с каждой стороны до расплавления сыра; missing approximate/user-friendly measure: 1; e.g. сыр гауда — 40 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
93,r604_lavash_s_humusom_zapechennym_pertsem_i_syrom,"Лаваш с хумусом, запечённым перцем и сыром",truncation/fragment/weak finish: 1; e.g. Прогрейте на сухой сковороде 2-3 минуты с каждой стороны до хрустящей корочки; missing approximate/user-friendly measure: 1; e.g. сыр гауда — 40 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
94,r609_syrnaya_lepeshka_na_skovorode,Сырная лепёшка на сковороде,truncation/fragment/weak finish: 1; e.g. Прогрейте лепешку по 2-3 минуты с каждой стороны до хруста и расплавления сыра; missing approximate/user-friendly measure: 1; e.g. сыр гауда — 30 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
95,r502_pasta_s_lososem_i_shpinatom_v_slivochnom_souse,Паста с лососем и шпинатом в сливочном соусе,"ingredient in list not named in steps: 3 (spinach, cream_cheese, garlic); missing approximate/user-friendly measure: 3; e.g. цельнозерновая паста — 100 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
96,r557_pitstsa_na_osnove_iz_tsvetnoy_kapusty,Пицца на основе из цветной капусты,"ingredient in list not named in steps: 3 (cauliflower, egg, gouda); missing approximate/user-friendly measure: 3; e.g. сыр гауда — 40 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
97,r215_zolotoy_karri_sup_iz_krasnoy_chechevitsy_s_kokosovym_m,Золотой карри-суп из красной чечевицы с кокосовым молоком,"ingredient in list not named in steps: 5 (ginger, chili_pepper, tamari, lemon_juice, cream); missing approximate/user-friendly measure: 1; e.g. чеснок — 4 г; 5 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
98,r411_pp_oladi_iz_kabachkov,ПП-оладьи из кабачков,"truncation/fragment/weak finish: 1; e.g. Выкладывайте тесто столовой ложкой на разогретую сковороду, обжаривайте оладьи на небольшом огне по 5—6 минут с каждой стороны, до румяной корочки; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
99,r417_aromatnyy_sup_pyure_iz_tsukini_i_chechevitsy,Ароматный суп-пюре из цукини и чечевицы,"truncation/fragment/weak finish: 1; e.g. Пробейте суп блендером до гладкости, посолите и поперчите по вкусу; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
100,r522_tefteli_v_tomatnom_souse,Тефтели из говяжьего фарша в томатном соусе,"truncation/fragment/weak finish: 1; e.g. Разогрейте растительное масло в сковороде, добавьте соус из томатной пасты и воды и потушите тефтели 25-30 минут; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
101,r547_rizotto_s_kuritsey_i_gribami,Ризотто с курицей и грибами,"truncation/fragment/weak finish: 1; e.g. Постепенно подливайте горячую воду или бульон, помешивая, пока рис не станет мягким; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
102,r593_yaytsa_s_seledkoy_i_lukom,Яйца с селёдкой и луком,"truncation/fragment/weak finish: 1; e.g. Выложите селедку и лук на половинки яиц, добавьте укроп и сбрызните лимоном; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
103,r600_sendvich_s_tuntsom,Сэндвич с тунцом,"truncation/fragment/weak finish: 1; e.g. Выложите тунцовую начинку и огурец на хлеб, накройте вторым ломтиком; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
104,r229_pastushiy_pirog_s_govyadinoy_i_kartofelnym_pyure,Пастуший пирог с говядиной и картофельным пюре,"ingredient in list not named in steps: 3 (beef_ground, green_peas, milk); missing approximate/user-friendly measure: 2; e.g. Сыр чеддер — 20 г; truncation/fragment/weak finish: 1; e.g. Запеките при 200 °C 10-12 минут",D. rewrite steps for completeness,no,warning
105,r433_shokoladnyy_pp_desert_s_bananom_v_mikrovolnovke,Шоколадный ПП-десерт с бананом в микроволновке,"ingredient in list not named in steps: 3 (egg, honey, dark_chocolate); missing approximate/user-friendly measure: 2; e.g. йогурт натуральный (для соуса) — 50 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
106,r467_pirozhki_s_yaytsom_i_tvorogom,Пирожки с яйцом и творогом,"ingredient in list not named in steps: 3 (cottage_cheese, gouda, wheat_flour); missing approximate/user-friendly measure: 2; e.g. творог обезжиренный высокобелковый — 50 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
107,r567_kuritsa_v_arahisovo_laymovom_souse_s_risom,Курица в арахисово-лаймовом соусе с рисом,"ingredient in list not named in steps: 3 (rice, peanut_butter, cucumber); missing approximate/user-friendly measure: 2; e.g. арахисовая паста — 65 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
